Время начала,Время окончания,Минуты активности,Калории (ккал),Дистанция (м),Баллы кардиотренировок,Минуты кардиотренировок,Средний пульс (уд/мин),Макс. пульс (уд/мин),Мин. пульс (уд/мин),Средняя скорость (м/с),Макс. скорость (м/с),Мин. скорость (м/с),Число шагов,Средний вес (кг),Макс. вес (кг),Мин. вес (кг),Продолжительность: Ходьба (мс),Продолжительность: Бег (мс)
00:00:00.000+02:00,00:15:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
00:15:00.000+02:00,00:30:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
00:30:00.000+02:00,00:45:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
00:45:00.000+02:00,01:00:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
01:00:00.000+02:00,01:15:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
01:15:00.000+02:00,01:30:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
01:30:00.000+02:00,01:45:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
01:45:00.000+02:00,02:00:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
02:00:00.000+02:00,02:15:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
02:15:00.000+02:00,02:30:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
02:30:00.000+02:00,02:45:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
02:45:00.000+02:00,03:00:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
03:00:00.000+02:00,03:15:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
03:15:00.000+02:00,03:30:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
03:30:00.000+02:00,03:45:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
03:45:00.000+02:00,04:00:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
04:00:00.000+02:00,04:15:00.000+02:00,,16.492187127470967,0.0,,,,,,,,,,,,,,
